heuristic,size,density,path_length,nodes_expanded,time_sec
Euclidean,20x15,0.2,30,33,0.0005996227264404297
Euclidean,20x15,0.2,25,27,0.0007495880126953125
Diagonal,20x15,0.2,25,26,0.00047397613525390625
Diagonal,20x15,0.2,29,37,0.0004942417144775391
Diagonal,20x15,0.2,29,38,0.0006465911865234375
Diagonal,20x15,0.2,27,27,0.0004088878631591797
Diagonal,20x15,0.2,26,28,0.0003879070281982422
Diagonal,20x15,0.2,22,28,0.0004303455352783203
Diagonal,20x15,0.2,28,32,0.000518798828125
Diagonal,20x15,0.2,29,32,0.00044727325439453125
Diagonal,20x15,0.2,26,28,0.0004107952117919922
Diagonal,20x15,0.2,28,29,0.0003998279571533203
Diagonal,20x15,0.2,34,51,0.0007145404815673828
Diagonal,20x15,0.2,26,26,0.0003554821014404297
Diagonal,20x15,0.2,30,33,0.00046706199645996094
Diagonal,20x15,0.2,26,26,0.00040912628173828125
Diagonal,20x15,0.2,29,34,0.0004513263702392578
Diagonal,20x15,0.2,28,30,0.00046896934509277344
Diagonal,20x15,0.2,34,36,0.0005059242248535156
Diagonal,20x15,0.2,29,31,0.00035381317138671875
Diagonal,20x15,0.2,28,37,0.0005357265472412109
Diagonal,20x15,0.2,32,35,0.00044465065002441406
Diagonal,20x15,0.2,33,42,0.0005612373352050781
Diagonal,20x15,0.2,27,29,0.00044989585876464844
Diagonal,20x15,0.2,25,28,0.00045108795166015625
Diagonal,20x15,0.2,32,39,0.0005843639373779297
Diagonal,20x15,0.2,25,51,0.0007309913635253906
Diagonal,20x15,0.2,27,27,0.0003714561462402344
Manhattan,20x15,0.3,28,27,0.0003612041473388672
Manhattan,20x15,0.3,29,70,0.0007870197296142578
Manhattan,20x15,0.3,29,31,0.000774383544921875
Manhattan,20x15,0.3,34,40,0.0004596710205078125
Manhattan,20x15,0.3,22,44,0.0006759166717529297
Manhattan,20x15,0.3,29,64,0.0008013248443603516
Manhattan,20x15,0.3,31,35,0.0005202293395996094
Manhattan,20x15,0.3,31,32,0.0003848075866699219
Manhattan,20x15,0.3,34,42,0.0004296302795410156
Manhattan,20x15,0.3,27,28,0.0004169940948486328
Euclidean,20x15,0.3,36,41,0.0004925727844238281
Euclidean,20x15,0.3,27,28,0.00037360191345214844
Euclidean,20x15,0.3,29,31,0.0003592967987060547
Euclidean,20x15,0.3,37,43,0.0005812644958496094
Euclidean,20x15,0.3,28,27,0.0004508495330810547
Euclidean,20x15,0.3,25,24,0.0003190040588378906
Euclidean,20x15,0.3,28,28,0.0003261566162109375
Euclidean,20x15,0.3,28,30,0.0004127025604248047
Euclidean,20x15,0.3,37,51,0.0005214214324951172
Euclidean,20x15,0.3,41,107,0.00135040283203125
Euclidean,20x15,0.3,37,65,0.001046895980834961
Euclidean,20x15,0.3,32,41,0.0007719993591308594
Diagonal,20x15,0.3,28,47,0.0009186267852783203
Diagonal,20x15,0.3,28,35,0.00039005279541015625
Diagonal,20x15,0.3,31,51,0.0006275177001953125
Diagonal,20x15,0.3,37,43,0.0005881786346435547
Diagonal,20x15,0.3,31,46,0.0004699230194091797
Diagonal,20x15,0.3,35,66,0.0006394386291503906
Diagonal,20x15,0.3,29,37,0.0004887580871582031
Diagonal,20x15,0.3,30,37,0.00044918060302734375
Diagonal,20x15,0.3,43,53,0.0012466907501220703
Diagonal,20x15,0.3,41,71,0.0011446475982666016
Diagonal,20x15,0.3,31,39,0.0004024505615234375
Diagonal,20x15,0.3,27,29,0.0004057884216308594
Diagonal,20x15,0.3,32,51,0.0006310939788818359
Diagonal,20x15,0.3,31,30,0.0005884170532226562
Diagonal,20x15,0.3,30,44,0.00046563148498535156
Diagonal,20x15,0.3,34,55,0.0010230541229248047
Diagonal,20x15,0.3,33,55,0.0008015632629394531
Manhattan,20x15,0.4,36,44,0.00042939186096191406
Euclidean,20x15,0.4,33,43,0.00046706199645996094
Euclidean,20x15,0.4,36,63,0.0006771087646484375
Euclidean,20x15,0.4,30,57,0.0005941390991210938
Euclidean,20x15,0.4,31,33,0.0003635883331298828
Diagonal,20x15,0.4,35,35,0.0003447532653808594
Diagonal,20x15,0.4,29,34,0.0004367828369140625
Manhattan,30x20,0.2,41,58,0.0011072158813476562
Manhattan,30x20,0.2,43,49,0.0007843971252441406
Manhattan,30x20,0.2,37,39,0.0007874965667724609
Manhattan,30x20,0.2,32,31,0.00099945068359375
Manhattan,30x20,0.2,34,37,0.0007605552673339844
Manhattan,30x20,0.2,38,44,0.0007212162017822266
Manhattan,30x20,0.2,41,54,0.0016446113586425781
Manhattan,30x20,0.2,39,43,0.0007371902465820312
Manhattan,30x20,0.2,39,39,0.0007739067077636719
Manhattan,30x20,0.2,34,36,0.000698089599609375
Manhattan,30x20,0.2,36,35,0.0006849765777587891
Manhattan,30x20,0.2,38,51,0.0007698535919189453
Manhattan,30x20,0.2,42,51,0.0008070468902587891
Manhattan,30x20,0.2,40,42,0.0017249584197998047
Manhattan,30x20,0.2,38,39,0.0008325576782226562
Manhattan,30x20,0.2,41,44,0.0009169578552246094
Manhattan,30x20,0.2,37,43,0.000827789306640625
Manhattan,30x20,0.2,34,35,0.0007967948913574219
Manhattan,30x20,0.2,38,40,0.0007226467132568359
Manhattan,30x20,0.2,37,39,0.0015516281127929688
Manhattan,30x20,0.2,40,49,0.0008153915405273438
Manhattan,30x20,0.2,39,40,0.0007200241088867188
Euclidean,30x20,0.2,44,50,0.0008127689361572266
Euclidean,30x20,0.2,40,42,0.0006701946258544922
